Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,135.880005,139.520004,132.020004,139.089996,128.103073,52411200
2014-05-01,139.500000,143.369995,138.649994,142.550003,131.289719,48494200
2014-06-01,142.270004,145.529999,141.610001,143.240005,132.734543,35654200
2014-07-01,143.410004,146.429993,140.600006,140.889999,130.556870,43313100
2014-08-01,140.149994,145.389999,138.429993,144.000000,133.438797,41032800
2014-09-01,143.300003,147.869995,140.660004,141.679993,132.071747,51777700
2014-10-01,141.160004,154.440002,130.600006,153.770004,143.341858,84979600
2014-11-01,153.139999,160.860001,152.979996,160.089996,149.233231,41063300
2014-12-01,158.350006,168.160004,155.589996,164.320007,153.998550,53439800
2015-01-01,164.710007,166.570007,157.740005,162.300003,152.105438,54722600
2015-02-01,162.119995,169.979996,160.889999,168.649994,158.056564,37365500
2015-03-01,168.160004,170.500000,161.210007,164.949997,155.550491,48144100
2015-04-01,164.289993,167.699997,156.009995,156.389999,147.478287,53240700
2015-05-01,156.789993,163.770004,156.550003,159.080002,150.014999,42817400
2015-06-01,159.100006,160.869995,153.919998,154.300003,146.427490,48517200
2015-07-01,156.130005,157.940002,147.699997,151.339996,143.618515,54769600
2015-08-01,150.789993,153.240005,134.000000,142.139999,134.887878,59167300
2015-09-01,139.479996,145.550003,135.389999,141.770004,135.473053,65251700
2015-10-01,142.210007,158.679993,138.570007,157.210007,150.227295,54363200
2015-11-01,157.509995,160.089996,155.600006,156.580002,149.625275,42405000
2015-12-01,156.410004,158.690002,146.690002,150.639999,144.894882,61108700
2016-01-01,148.050003,151.000000,134.639999,151.000000,145.241150,63731800
2016-02-01,149.330002,159.500000,146.050003,156.869995,150.887268,52788500
2016-03-01,158.750000,167.500000,157.610001,166.630005,161.433060,48587700
2016-04-01,165.630005,170.770004,164.649994,167.380005,162.159653,38822200
2016-05-01,167.300003,171.270004,163.169998,168.320007,163.070358,36433700
2016-06-01,167.779999,175.139999,165.160004,175.119995,170.787949,46945100
2016-07-01,175.139999,182.270004,173.509995,178.360001,173.947800,38585200
2016-08-01,177.080002,181.470001,177.080002,179.240005,174.806061,30878700
2016-09-01,179.309998,181.660004,174.389999,176.229996,172.941422,38143300
2016-10-01,175.330002,175.949997,165.110001,165.300003,162.215408,41884100
2016-11-01,165.399994,175.509995,163.850006,171.740005,168.535233,43843100
2016-12-01,171.639999,180.059998,171.089996,178.490005,176.282288,43415800
2017-01-01,178.830002,180.000000,173.809998,174.820007,172.657669,37982900
2017-02-01,175.169998,188.410004,173.550003,186.350006,184.045059,38913300
2017-03-01,188.080002,193.500000,188.009995,191.330002,190.194061,44760300
2017-04-01,191.869995,197.119995,188.619995,195.830002,194.667358,34994300
2017-05-01,195.500000,204.470001,193.539993,204.470001,203.256058,40019700
2017-06-01,204.250000,214.570007,203.679993,208.190002,208.190002,40494700
